Canzone,Artista,Anno ultimo rilascio,Durata (min),Popolarità
Lasciami cantare una canzone,Achille Togliani,2012,"3,44895",20
Vecchio scarpone,I Girasoli,2011,"3,03325",26
Vecchia villa comunale,Gino Latilla,2015,"3,948666667",0
No Pierrot,Aurelio Fierro,2009,"3,661483333",0
Il passerotto,Ciansunier,2017,"2,712433333",3
Sussurrando buonanotte,Nilla Pizzi,2020,"3,782933333",0
Tamburino del reggimento,Luciano Taioli,2017,"2,867616667",3
Papà Pacifico,Nilla Pizzi,2011,"2,871716667",0
Acque amare,Carla Boni,2014,"3,4168",20
Buona sera,Fred Buscaglione,1987,"2,626666667",46
Canto della solitudine,Federico Del Frate,2024,"2,821216667",0
Domandatelo,Giacomo Puccini,1964,"2,5",3
Innamorami,Lady Paradise,2022,1,0
La mamma che piange di più,Giorgio Consolini,2012,"3,492433333",0
La pianola stonata,Achille Togliani,2012,"3,20555",0
L'altra,Måneskin,2018,"2,111766667",67
Povero amico mio,Carlo Buti,1935,"3,51755",2
Qualcuno cammina,Rosita Brucoli,2023,"3,445",2
Papaveri e papere,Nilla Pizzi,2014,"2,94355",33
Una donna prega,Nilla Pizzi,2021,"4,427316667",1
Madonna delle rose,Claudio Villa,1959,"3,319333333",13
Un disco dall'Italia,Gino Bechi,1970,"2,045316667",0
L'attesa,Daniela Picciau,2022,"4,358066667",18
Perché le donne belle,Paolo Bellasio,2023,"1,7691",0
Vecchie mura,Achille Togliani,2012,"3,44755",0
Libro di novelle,Achille Togliani,2012,"3,480666667",0
Nel regno dei sogni,Nilla Pizzi,2006,"3,304433333",5
Al ritmo della carrozzella,Duo Fasano,2011,"2,9048",0
Buonanotte (Ai bimbi del mondo),Nilla Pizzi,1940,"3,401133333",0
Cantate e sorridete,Oscar Carboni,2022,"2,809766667",0
Due gattini,Duo Fasano,2012,"3,55355",1
Il valzer di Nonna Speranza,Nilla Pizzi,2011,"3,520433333",0
La collanina,Lucio Battisti,1973,"4,9251",58
Malinconica tarantella,Claudio Villa,2022,"3,47955",0
Ninna nanna ai sogni perduti,Acqua Curativa,2017,"3,723516667",0
Pura fantasia,Julieta Venegas,2022,"3,798683333",33
Vecchio tram,Trattoria Italiana,2022,"2,680833333",42
Campanaro,Nilla Pizzi,2011,"4,018883333",4
Lasciami cantare una canzone,Achille Togliani,2012,"3,44895",20
Vecchio scarpone,I Girasoli,2011,"3,03325",26
Vecchia villa comunale,Gino Latilla,2015,"3,948666667",0
No Pierrot,Aurelio Fierro,2009,"3,661483333",0
Il passerotto,Ciansunier,2017,"2,712433333",3
Sussurrando buonanotte,Nilla Pizzi,2020,"3,782933333",0
Tamburino del reggimento,Luciano Taioli,2017,"2,867616667",3
Papà Pacifico,Nilla Pizzi,2011,"2,871716667",0
Acque amare,Carla Boni,2014,"3,4168",20
Buona sera,Fred Buscaglione,1987,"2,626666667",46
Canto della solitudine,Federico Del Frate,2024,"2,821216667",0
Domandatelo,Giacomo Puccini,1964,"2,5",3
Innamorami,Lady Paradise,2022,1,0
La mamma che piange di più,Giorgio Consolini,2012,"3,492433333",0
La pianola stonata,Achille Togliani,2012,"3,20555",0
L'altra,Måneskin,2018,"2,111766667",67
Povero amico mio,Carlo Buti,1935,"3,51755",2
Qualcuno cammina,Rosita Brucoli,2023,"3,445",2
Canzone da due soldi,Nilla Pizzi,2011,"2,7711",19
...e la barca tornò sola,Renato Carosone,1995,"2,282216667",20
Notturno (Per chi non ha nessuno),Vittoria Mongardi,2013,"3,850433333",0
Non è mai troppo tardi,Federico Rossi,2021,"2,702466667",52
Aveva un bavero,Quartetto Cetra,2014,"3,779766667",14
Sotto l'ombrello,Matteo Tarantino,2008,"4,182",2
Mogliettina,Renzo Arbore,2009,"5,468883333",25
Con te,Andrea Bocelli,1995,"4,18305",50
Donnina sola,Mia Martini,1972,"3,536216667",25
Angeli senza cielo,Flo Sandon's,1947,"4,197783333",7
Arriva il direttore,Quartetto Cetra,2009,"2,666216667",6
Berta filava,Rino Gaetano,1976,"3,686216667",59
Canzoni alla sbarra,Quartetto Cetra,2009,"3,120216667",5
Cirillino-Ci,Quartetto Cetra,1955,"3,770533333",5
Gioia di vivere,Vibrazioni Positive 432Hz,2023,"3,307183333",4
Piripicchio e Piripicchia,Quartetto Cetra,2009,"2,940883333",4
Rose (Oggi i tempi son cambiati),Vittoria Mongardi,2012,"3,286666667",0
Un diario,Quartetto Cetra,2020,"3,615766667",1
Una bambina sei tu,Claudio Villa,2021,"3,314483333",0
Il torrente,Torrente,2024,"3,296733333",0
Canto nella valle,Le Nostre Valli,2023,"4,152216667",20
Incantatella,Narciso Parigi,2022,"4,259766667",3
Un cuore,Francesca Michielin,2016,"3,538666667",44
L'ombra,Spia,2019,"3,83605",13
Ci ciu cì (Cantava un usignol),Natalino Otto,2022,"3,462516667",0
Una fotografia nella cornice,Natalino Otto,1953,"3,0532",4
Cantilena del trainante,Antonio Basurto,2014,"5,36555",0
Che fai tu luna in ciel,Irena Kowalska,2023,"2,45",0
Era un omino,I Campagnoli Belli,2009,"3,868433333",2
I tre timidi,Nuccia,2009,"3,617333333",0
Il primo viaggio,Paolo Bacilieri,2014,"2,72325",19
Non penserò che a te,Gianni Ravera,2014,"4,164066667",0
Sentiero,Valo B,2024,"3,2024",8
Zucchero e pepe,Bruno Rosettani,2014,"3,173433333",21
Amami se vuoi,Tonina Torielli,2014,"3,219583333",27
La vita è un paradiso di bugie,Quartetto Cetra,2009,"2,5771",13
Il cantico del cielo,Fiorella Bini,2015,"3,468883333",2
La colpa fu,El Canfin,2007,"2,971766667",27
Il bosco innamorato,Quartetto Cetra,1955,"2,9764",1
Albero caduto,Quartetto Cetra,2020,"3,01",0
Musetto (La più bella sei tu),Gianni Marzocchi,2012,"2,86155",1
Nota per nota,Zucchero,2004,"3,382433333",40
Due teste sul cuscino,Claudio Villa,2019,"3,41185",0
Anima gemella,Gemelli Diversi,2000,"4,011766667",38
È bello,Dorsa,2023,"3,104416667",0
Ho detto al sole,Gigi Proietti,2002,"3,990883333",12
Il trenino del destino,Franca Raimondi,2014,"2,913266667",0
Il trenino di latta verde,Natalino Otto,2021,"2,5931",0
Lucia e Tobia,Quartetto Cetra,2020,"3,198",0
Lui e lei,Razzi Totali,2006,"1,130666667",0
Parole e musica,Ligabue,2023,"3,1227",43
Qualcosa è rimasto,Mondo Marcio,2004,"3,7711",23
Sogni d'or,Franca Raimondi,2014,"2,664116667",0
Usignolo,Claudio Villa,2008,"3,614216667",12
Scusami,Max Pasquarelli,2023,"4,08",27
Casetta in Canadà,Big Boys,2001,"2,877766667",26
Cancello tra le rose,Giorgio Consolini,1997,"3,493333333",6
Il pericolo numero uno,Renato Carosone,2007,"2,782883333",20
Intorno a te (È sempre primavera),Tonina Torrielli,2010,"3,272266667",0
Per una volta ancora,Cecco e Cipo,2022,"3,404016667",33
Un filo di speranza,Gino Latilla,2000,"3,62",2
Le trote blu,Giorgio Consolini,2019,"3,643766667",2
A poco a poco,Anna Oxa,1978,"4,171766667",53
Ancora ci credo,xDiemondx,2022,"2,351183333",19
Estasi,Gaia,2023,"2,66875",50
Finalmente,883,1998,"2,78955",54
Nel giardino del mio cuore,Teddy Reno,2023,"2,499933333",1
Non ti ricordi più?,Nunzio Gallo,2019,"3,524433333",1
Raggio nella nebbia,Fiorella Bini,2015,"3,432",1
Un certo sorriso,Natalino Otto,2015,"3,148216667",0
Un sogno di cristallo,Orsogufo,2022,"2,8245",2
Nel blu dipinto di blu,Domenico Modugno,2008,"3,652",52
L'edera,Erica Mou,2016,"2,670166667",4
Amare un'altra,Tony Colombo,2022,"3,696",19
Campana di Santa Lucia,Giacomo Rondinella,2011,"3,182433333",2
Giuro d'amarti così,Nilla Pizzi,1954,"3,44555",2
Timida serenata,Gloria Christian,2011,"3,094216667",10
Fragole e cappellini,Aurelio Fierro,2015,"3,09985",5
Non potrai dimenticare,Fred Buscaglione,2022,"3,089533333",5
Mille volte,Max Gazzè,2015,"3,867716667",34
Fantastica,Rocco Hunt,2021,"3,126866667",51
Arsura,Iva Zanicchi,1978,"3,0665",2
Cos'è un bacio,Nayt,2016,"3,766666667",33
È molto facile dirsi addio,Marisa Del Frate,2015,"3,22955",0
Ho disegnato un cuore,Gloria Christian,2019,"3,27795",2
I trulli di Alberobello,Aurelio Fierro,2019,"2,596433333",3
Io sono te,Assia Fiorillo,2022,"3,56",4
La canzone che piace a te,Cutolo,2019,"2,882433333",0
Nozze d'oro,Ruggero Passarini,1993,"3,095116667",3
Se tornassi tu..!,Julio Iglesias,1979,"2,807766667",35
Tu sei del mio paese,Alberto Testa,2019,"3,094216667",1
Io sono il vento,Marino Marini,1955,"2,985766667",32
Conoscerti,Achille Togliani,2014,"2,428066667",5
Tua,Elisa,2019,"3,455766667",54
Lì per lì,Natalino Otto,1953,"3,092",13
Sempre con te,Tosca,2024,"2,519383333",7
Avevamo la stessa età,Renzo Arbore,2009,"5,468883333",25
Nessuno,Cesare Cremonini,2017,"4,741333333",56
Una marcia in Fa,Claudio Villa,2008,"2,520666667",10
Un bacio sulla bocca,Fabrizio Cesare,2016,"2,08355",13
Adorami,Nilla Pizzi,1954,"3,853333333",10
Così così,Dutch Nazari,2018,"3,56795",20
Il nostro refrain,Fernanda Furlani,2011,"2,158216667",0
La luna è un'altra luna,Giorgio Consolini,2022,"2,468133333",4
La vita mi ha dato solo te,Nella Colombo,1943,"3,318883333",0
Ma baciami,Achille Togliani,2022,"3,267466667",6
Né stelle né mare,Michele Nobler,2020,2,30
Partir con te,Andrea Bocelli,1995,"4,18305",50
Per tutta la vita,Noemi,2009,"3,200883333",47
Tu sei qui,SDV Worship,2021,"5,319566667",23
Libero,Tommy Riccio,2018,"4,22215",29
Quando vien la sera,Joe Sentieri,2014,"2,177733333",32
Colpevole,Gemitaiz,2023,"2,972666667",64
È mezzanotte,Elodie,2023,"2,97855",57
Il mare,Zucchero,2008,"4,167333333",20
Noi,Marracash,2021,"4,533383333",55
È vero,Alessandra Amoroso,2011,"3,770883333",39
Splende il sole,Zerosospiro,2008,"1,116",41
Notte mia,Johnny Dorelli,1951,"3,9851",2
A come amore,Teddy Reno,2019,"3,126666667",18
Amore abisso dolce,Gian Carlo Testoni,2019,"3,77755",2
Amore senza sole,Teddy Reno,2023,"2,149",0
Gridare di gioia,Adriano Valle,2021,"2,204433333",0
Invoco te,Mina,2004,"3,138216667",16
Non sei felice,Mina,1987,"2,511766667",4
Perderti,Sara Sansica,2018,"3,83435",1
Perdoniamoci,Achille Togliani,2015,"2,682",25
Splende l'arcobaleno,Gloria Christian,2019,"3,36505",1
Vento pioggia... scarpe rotte,Gino Latilla,2017,"3,03355",0
24mila baci,Adriano Celentano,2006,"2,29755",46
Il mare nel cassetto,Milva,1960,"2,988216667",24
Io amo tu ami,Mina,2004,"3,43555",8
Le mille bolle blu,Mina,2016,"3,8905",39
Come sinfonia,Pino Donaggio,2014,"3,328",19
Febbre di musica,Tonina Torrielli,2017,"3,3671",0
Mandolino mandolino,Piero Montanaro,2024,"3,893983333",0
Carolina dai,Livingston Taylor,1970,"3,134883333",30
Un uomo vivo,Gino Paoli,2001,"3,023333333",21
Non mi dire chi sei,Luciano Tajoli,1988,"3,380433333",8
Lei,Neima Ezza,2022,"3,376666667",67
A.A.A. adorabile cercasi,Little Tony,2014,"2,337516667",20
Benzina e cerini,Giorgio Gaber,1961,"2,268216667",9
Che freddo!,Nada,1969,"3,060433333",60
Lady Luna,Nora Orlandi,2016,"2,908683333",32
Libellule,De Gruy,2021,"2,333333333",43
Mare di dicembre,Pino Daniele,2015,"5,093333333",20
Notturno senza luna,Luigi Tenco,2013,"1,796783333",12
Patatina,Gianni Meccia,2002,"2,929333333",23
Pozzanghere,Il Solito Dandy,2022,"3,6081",23
Qualcuno mi ama,Sandro,2017,"4,394883333",33
Tu con me,Aliciakat,2023,"2,633333333",23
Una goccia di cielo,Luciano Tajoli,2019,"3,191866667",0
Tango italiano,Cocki Mazzetti,2019,"2,459266667",46
Gondolì gondolà,faff,2022,"2,65115",24
Quando quando quando,Tony Renis,2001,"2,773766667",53
Stanotte al luna park,Milva,2014,"4,6241",2
Lui andava a cavallo,Aurelio Fierro,1962,"2,464016667",2
Un'anima leggera,Arturo Testa,2012,"3,172616667",0
Cipria di sole,Joe Sentieri,2012,"3,703966667",0
Aspettandoti,Neffa,1996,"5,2",50
